x,y,inside
0.403209,0.222663,1
0.095216,0.401001,1
0.557365,0.998390,0
0.893059,0.502440,0
0.246866,0.484692,1
0.434015,0.214935,1
0.860649,0.652618,0
0.004633,0.159356,1
0.725118,0.445897,1
0.490900,0.385947,1
0.027499,0.496867,1
0.662459,0.194996,1
0.208900,0.749159,1
0.423904,0.165607,1
0.197373,0.238436,1
0.929771,0.812243,0
0.463736,0.325594,1
0.172085,0.828937,1
0.365691,0.995802,0
0.695454,0.446384,1
0.824334,0.574807,0
0.162404,0.735087,1
0.726941,0.925719,0
0.780570,0.051852,1
0.531350,0.657534,1
0.243686,0.822974,1
0.306849,0.078655,1
0.948427,0.725737,0
0.849425,0.586814,0
0.042400,0.984917,1
0.790669,0.496469,1
0.812898,0.220086,1
0.212896,0.815395,1
0.907660,0.446735,0
0.398391,0.421834,1
0.590366,0.430732,1
0.577001,0.398713,1
0.785153,0.785322,0
0.860246,0.842551,0
0.293205,0.521946,1
0.455489,0.888803,1
0.783730,0.312079,1
0.755561,0.137235,1
0.196884,0.548663,1
0.601108,0.291732,1
0.065840,0.207403,1
0.863693,0.250698,1
0.546581,0.881658,0
0.682439,0.378428,1
0.685712,0.327891,1
0.534895,0.904764,0
0.925453,0.756855,0
0.676947,0.787346,0
0.056435,0.922780,1
0.691618,0.398826,1
0.051959,0.905291,1
0.469590,0.024590,1
0.692984,0.882648,0
0.438089,0.595363,1
0.613506,0.581167,1
0.300328,0.058164,1
0.285701,0.195504,1
0.364720,0.512731,1
0.844524,0.402356,1
0.221387,0.340050,1
0.298508,0.345149,1
0.875078,0.805735,0
0.406780,0.174177,1
0.613932,0.354319,1
0.673973,0.482440,1
0.389795,0.717748,1
0.513072,0.795734,1
0.562863,0.591023,1
0.360269,0.542432,1
0.493202,0.480033,1
0.246421,0.821960,1
0.746051,0.716641,0
0.642250,0.130314,1
0.986950,0.752696,0
0.164991,0.225835,1
0.386459,0.287832,1
0.413874,0.603229,1
0.801819,0.073398,1
0.239179,0.674928,1
0.449572,0.745495,1
0.365322,0.702162,1
0.176770,0.476763,1
0.090920,0.270626,1
